DATE,RAIN INCHES
Sep-12,--
Oct-12,2.29
Nov-12,15.17
Dec-12,21.9
Jan-13,1.66
Feb-13,1.31
Mar-13,5.45
Apr-13,1.04
May-13,0.94
Jun-13,2.28
Jul-13,0
Aug-13,0.14
Sep-13,2.09
Oct-13,0.64
Nov-13,2.96
Dec-13,0.73
Jan-14,1.28
Feb-14,14.14
Mar-14,14.61
Apr-14,2.35
May-14,0.42
Jun-14,0
Jul-14,0.07
Aug-14,1.08
Sep-14,0.19
Oct-14,2.95
Nov-14,--
Dec-14,22.77
Jan-15,0.44
Feb-15,6.28
Mar-15,1.04
Apr-15,2.84
May-15,0.6
Jun-15,0.34
Jul-15,0
Aug-15,0.08
Sep-15,0.67
Oct-15,0.95
Nov-15,5.13
Dec-15,13.03
Jan-16,23.11
Feb-16,3.11
Mar-16,19.17
Apr-16,2.84
May-16,1.18
Jun-16,1.06
Jul-16,0
Aug-16,0
Sep-16,0
Oct-16,13.69
Nov-16,7.96
Dec-16,20.07
Jan-17,23.48
Feb-17,21.85
Mar-17,7.18
Apr-17,9.43
May-17,0.45
Jun-17,0.89
Jul-17,0
Aug-17,0
Sep-17,0.1
Oct-17,1.23
Nov-17,13.42
Dec-17,0.79
Jan-18,10.65
Feb-18,0.84
Mar-18,15.79
Apr-18,8.71
May-18,0.71
Jun-18,0
Jul-18,0.04
Aug-18,0
Sep-18,0
Oct-18,0.2
Nov-18,7.54
Dec-18,8.09
Jan-19,17
Feb-19,28.3
Mar-19,13.58
Apr-19,5.1
May-19,9.64
Jun-19,0.02
Jul-19,0
Aug-19,0
Sep-19,2.77
Oct-19,0.03
Nov-19,2.63
Dec-19,13.82
Jan-20,7.08
Feb-20,0
Mar-20,5.63
Apr-20,2.65
May-20,5.23
Jun-20,0.22
Jul-20,0
Aug-20,0.05
Sep-20,0
Oct-20,0
Nov-20,3.57
Dec-20,5.15
Jan-21,8.03
Feb-21,5.28
Mar-21,6.59
Apr-21,1.07
May-21,0.01
Jun-21,0.14
Jul-21,0
Aug-21,0